Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad: Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad Autónoma,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023 (P),,,,2024 (A),,
,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual
Girona,27864,1.073757225433526,0.01838383100032903,,28643,1.075793427230047,0.02795722078667806,,25331,1.062051905580479,-0.11563034598331179,,29732,1.1394190235303134,0.17373968655007688,,32882,1.1420533481522646,0.10594645499798205,,35781,1.1551200929752066,0.08816373699896607,,,,
Lleida,28290,1.0901734104046243,0.03018826699683186,,29386,1.1036995305164319,0.03874160480735234,,26556,1.113412435537294,-0.09630436262165654,,29554,1.1325975319996935,0.11289350805844256,,31050,1.0784245623784385,0.05061920552209509,,33550,1.0830965909090908,0.08051529790660217,,,,
Tarragona,30427,1.17252408477842,0.0010528047376212601,,30643,1.1509107981220656,0.007098958162158553,,26378,1.1059494360823445,-0.1391835003100219,,29817,1.142676477351115,0.13037379634543944,,32695,1.135558488469019,0.09652211825468693,,34463,1.1125710227272727,0.054075546719681844,,,,
COMUNITAT VALENCIANA,22723,0.875645472061657,0.03305146390252767,,23248,0.8731643192488263,0.023104343616599854,,20980,0.8796276885665171,-0.09755677907777016,,22944,0.8792825936997011,0.0936129647283126,,24715,0.8583981661572659,0.07718793584379369,,26512,0.8558884297520661,0.07270888124620667,,27626,0.8465663592069378,0.042018708509354186
Alicante/Alacant,19798,0.7629287090558767,0.02437005225849842,,20263,0.7610516431924883,0.023487220931407204,,18339,0.7688985786759465,-0.0949513892316044,,20334,0.7792595999080248,0.10878455750040894,,21715,0.7542025562656294,0.06791580603914626,,23539,0.7599108987603306,0.08399723693299554,,,,
Castellón/Castelló,27201,1.048208092485549,0.007855052058245882,,27746,1.0421032863849766,0.02003602808720273,,24497,1.0270848182466144,-0.1170979600663159,,26829,1.0281673948034031,0.09519533004041314,,29038,1.0085440400111143,0.08233627790823372,,28971,0.9352724690082644,-0.0023073214408705356,,,,
Valencia/València,23825,0.918111753371869,0.04518534766396143,,24397,0.9163192488262911,0.02400839454354675,,22104,0.926753595237097,-0.09398696561052589,,23967,0.9184870085077029,0.08428338762214982,,25935,0.9007710475131981,0.08211290524471138,,28139,0.9084129648760331,0.0849816849816849,,,,
EXTREMADURA,19368,0.7463583815028901,0.032354352113426854,,19863,0.7460281690140845,0.02555762081784385,,18351,0.7694017022347072,-0.076121431807884,,20363,0.7803709665057101,0.10963980164568699,,22250,0.7727841066963045,0.09266807444875513,,23891,0.7712745351239669,0.07375280898876402,,25224,0.7729598872307174,0.05579506927294786
Badajoz,18706,0.7208477842003853,0.019456101149926353,,19102,0.7174460093896714,0.021169678178124762,,17844,0.7481447318770701,-0.06585697832687676,,19029,0.7292481030121867,0.06640887693342301,,20457,0.7105098638510697,0.07504335487939451,,22412,0.7235278925619835,0.09556630982059922,,,,
Cáceres,20499,0.7899421965317919,0.053337444119007316,,21163,0.7948544600938967,0.03239182399141427,,19222,0.8059200872080835,-0.09171667532958461,,22653,0.8681306047367211,0.17849339298720213,,25328,0.8796888024451236,0.11808590473667957,,26427,0.8531443698347108,0.04339071383449156,,,,
GALICIA,23212,0.8944894026974952,0.03472562742388452,,23901,0.8976901408450704,0.029682922626227848,,21864,0.9166911240618842,-0.08522655955817748,,23927,0.9169540890626198,0.09435601902671054,,26570,0.9228257849402611,0.11046098549755512,,28661,0.9252647210743802,0.07869777945050815,,30191,0.925167774951736,0.053382645406650164
"Coruña, A",24319,0.9371483622350675,0.04234709185204233,,24840,0.9329577464788732,0.021423578272132815,,22743,0.953544924741101,-0.08442028985507244,,24627,0.9437801793515751,0.08283867563645964,,27835,0.9667616004445679,0.1302635318958867,,29727,0.9596784607438017,0.0679719777258847,,,,
Lugo,23579,0.9086319845857418,0.049448103970090695,,23836,0.8952488262910798,0.010899529242122119,,21271,0.8918284348664626,-0.10761033730491698,,23529,0.9017015405840423,0.10615391848056044,,26425,0.9177896637954988,0.12308215393769384,,28974,0.9353693181818182,0.0964616840113528,,,,
Ourense,22030,0.8489402697495183,0.047302115521749455,,23276,0.8742159624413146,0.05655923740354063,,21005,0.8806758626472685,-0.0975683107063069,,23878,0.9150762627423928,0.13677695786717448,,26705,0.9275145873853848,0.11839350029315687,,29274,0.94505423553719,0.0961992136304064,,,,
Pontevedra,22157,0.8538342967244701,0.01567728627091447,,23013,0.8643380281690141,0.03863338899670543,,21304,0.8932120246530544,-0.07426237344109854,,23251,0.8910477504407144,0.0913912880210288,,25076,0.8709363712142262,0.07849124768827154,,27091,0.8745803202479339,0.08035571861540913,,,,
"MADRID, COMUNIDAD DE",35601,1.371907514450867,0.029168593894542072,,36613,1.375136150234742,0.028426167804275204,,32853,1.3774265229969394,-0.10269576379974321,,35703,1.3682455736951022,0.08675006848689626,,39246,1.3630869686023896,0.09923535837324593,,42639,1.3765173037190082,0.08645467053967293,,44749,1.3712806055220177,0.0494852130678487
"MURCIA, REGIÓN DE",21393,0.824393063583815,0.01254259750094655,,22015,0.8268544600938967,0.02907493105221337,,20108,0.8430673766299107,-0.08662275721099255,,22087,0.8464397945887944,0.09841853988462312,,24263,0.8426993609335927,0.098519491103364,,25536,0.8243801652892562,0.0524667188723571,,26944,0.8256672693285938,0.05513784461152893
"NAVARRA, COMUNIDAD FORAL DE",31190,1.201926782273603,0.018249485815023947,,32136,1.2069859154929576,0.030330234049374738,,28987,1.2153368831495535,-0.09798979337814284,,31486,1.2066375411972101,0.08621106013040336,,34720,1.2058905251458738,0.1027123165851489,,36987,1.1940534607438016,0.06529377880184328,,39096,1.1980510526154506,0.057020034066023184
PAÍS VASCO,32835,1.2653179190751445,0.029600827819761033,,33590,1.2615962441314554,0.022993756662098352,,30115,1.2626304976730536,-0.10345340875260489,,32898,1.2607495976086456,0.09241241906026887,,36280,1.260072242289525,0.10280260198188329,,39041,1.260362861570248,0.07610253583241455,,41010,1.2567033371127387,0.05043415896109216
