freq,unit,sector,na_item,geo,valor,estado,anyo
A,MIO_EUR,S13,D62PAY,PT,42118.8,,2023
A,MIO_EUR,S13,D62PAY,PT,46385.7,,2024
A,MIO_EUR,S13,TE,DE,1533328.0,,2018
A,MIO_EUR,S13,TE,DE,1610615.0,,2019
A,MIO_EUR,S13,TE,DE,1763784.0,,2020
A,MIO_EUR,S13,TE,DE,1865819.0,,2021
A,MIO_EUR,S13,TE,DE,1939208.0,,2022
A,MIO_EUR,S13,TE,DE,2031433.0,,2023
A,MIO_EUR,S13,TE,DE,2139717.0,,2024
A,MIO_EUR,S13,TE,ES,503193.0,,2018
A,MIO_EUR,S13,TE,ES,526769.0,,2019
A,MIO_EUR,S13,TE,ES,580164.0,,2020
A,MIO_EUR,S13,TE,ES,611124.0,,2021
A,MIO_EUR,S13,TE,ES,637117.0,,2022
A,MIO_EUR,S13,TE,ES,680225.0,,2023
A,MIO_EUR,S13,TE,ES,725001.0,,2024
A,MIO_EUR,S13,TE,EU27_2020,6361725.8,,2018
A,MIO_EUR,S13,TE,EU27_2020,6583991.3,,2019
A,MIO_EUR,S13,TE,EU27_2020,7186793.5,,2020
A,MIO_EUR,S13,TE,EU27_2020,7567783.7,,2021
A,MIO_EUR,S13,TE,EU27_2020,7948237.9,,2022
A,MIO_EUR,S13,TE,EU27_2020,8444009.9,,2023
A,MIO_EUR,S13,TE,EU27_2020,8856950.4,,2024
A,MIO_EUR,S13,TE,FR,1327632.3,,2018
A,MIO_EUR,S13,TE,FR,1346154.7,,2019
A,MIO_EUR,S13,TE,FR,1430357.0,,2020
A,MIO_EUR,S13,TE,FR,1491381.1,,2021
A,MIO_EUR,S13,TE,FR,1550331.4,,2022
A,MIO_EUR,S13,TE,FR,1608270.8,,2023
A,MIO_EUR,S13,TE,FR,1672708.2,,2024
A,MIO_EUR,S13,TE,IT,859018.0,,2018
A,MIO_EUR,S13,TE,IT,873598.0,,2019
A,MIO_EUR,S13,TE,IT,948296.0,,2020
A,MIO_EUR,S13,TE,IT,1032529.0,,2021
A,MIO_EUR,S13,TE,IT,1097627.0,,2022
A,MIO_EUR,S13,TE,IT,1149084.0,,2023
A,MIO_EUR,S13,TE,IT,1109804.0,,2024
A,MIO_EUR,S13,TE,PT,88725.9,,2018
A,MIO_EUR,S13,TE,PT,91117.2,,2019
A,MIO_EUR,S13,TE,PT,98753.5,,2020
A,MIO_EUR,S13,TE,PT,102495.1,,2021
A,MIO_EUR,S13,TE,PT,107033.6,,2022
A,MIO_EUR,S13,TE,PT,113640.9,,2023
A,MIO_EUR,S13,TE,PT,122805.3,,2024
A,MIO_EUR,S13,TR,DE,1597995.0,,2018
A,MIO_EUR,S13,TR,DE,1657564.0,,2019
A,MIO_EUR,S13,TR,DE,1612653.0,,2020
A,MIO_EUR,S13,TR,DE,1749189.0,,2021
A,MIO_EUR,S13,TR,DE,1863070.0,,2022
A,MIO_EUR,S13,TR,DE,1926184.0,,2023
A,MIO_EUR,S13,TR,DE,2024422.0,,2024
A,MIO_EUR,S13,TR,ES,472250.0,,2018
A,MIO_EUR,S13,TR,ES,488347.0,,2019
A,MIO_EUR,S13,TR,ES,468267.0,,2020
A,MIO_EUR,S13,TR,ES,528950.0,,2021
A,MIO_EUR,S13,TR,ES,574012.0,,2022
A,MIO_EUR,S13,TR,ES,630198.0,,2023
A,MIO_EUR,S13,TR,ES,673734.0,,2024
A,MIO_EUR,S13,TR,EU27_2020,6307690.7,,2018
A,MIO_EUR,S13,TR,EU27_2020,6519166.7,,2019
A,MIO_EUR,S13,TR,EU27_2020,6277795.5,,2020
A,MIO_EUR,S13,TR,EU27_2020,6884189.7,,2021
A,MIO_EUR,S13,TR,EU27_2020,7438304.3,,2022
A,MIO_EUR,S13,TR,EU27_2020,7851204.7,,2023
A,MIO_EUR,S13,TR,EU27_2020,8294839.1,,2024
A,MIO_EUR,S13,TR,FR,1273016.1,,2018
A,MIO_EUR,S13,TR,FR,1287929.2,,2019
A,MIO_EUR,S13,TR,FR,1223272.6,,2020
A,MIO_EUR,S13,TR,FR,1326231.8,,2021
