Comunidades autónomas;Tipología penal;periodo;Total
ANDALUCÍA;1.4.-Otros contra las personas;2021;712
ANDALUCÍA;1.4.-Otros contra las personas;2020;647
ANDALUCÍA;1.4.-Otros contra las personas;2019;813
ANDALUCÍA;1.4.-Otros contra las personas;2018;793
ANDALUCÍA;2. CONTRA LA LIBERTAD;2024;35.299
ANDALUCÍA;2. CONTRA LA LIBERTAD;2023;32.765
ANDALUCÍA;2. CONTRA LA LIBERTAD;2022;28.618
ANDALUCÍA;2. CONTRA LA LIBERTAD;2021;27.291
ANDALUCÍA;2. CONTRA LA LIBERTAD;2020;26.108
ANDALUCÍA;2. CONTRA LA LIBERTAD;2019;25.751
ANDALUCÍA;2. CONTRA LA LIBERTAD;2018;24.513
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2024;2.918
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2023;3.007
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2022;2.858
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2021;2.806
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2020;2.717
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2019;2.752
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2018;2.671
ANDALUCÍA;2.2.-Otros contra la libertad;2024;32.381
ANDALUCÍA;2.2.-Otros contra la libertad;2023;29.758
ANDALUCÍA;2.2.-Otros contra la libertad;2022;25.760
ANDALUCÍA;2.2.-Otros contra la libertad;2021;24.485
ANDALUCÍA;2.2.-Otros contra la libertad;2020;23.391
ANDALUCÍA;2.2.-Otros contra la libertad;2019;22.999
ANDALUCÍA;2.2.-Otros contra la libertad;2018;21.842
ANDALUCÍA;3. LIBERTAD SEXUAL;2024;3.453
ANDALUCÍA;3. LIBERTAD SEXUAL;2023;3.473
ANDALUCÍA;3. LIBERTAD SEXUAL;2022;3.067
ANDALUCÍA;3. LIBERTAD SEXUAL;2021;2.690
ANDALUCÍA;3. LIBERTAD SEXUAL;2020;2.204
ANDALUCÍA;3. LIBERTAD SEXUAL;2019;2.510
ANDALUCÍA;3. LIBERTAD SEXUAL;2018;2.339
ANDALUCÍA;3.1.-Agresión sexual;2024;2.150
ANDALUCÍA;3.1.-Agresión sexual;2023;2.044
ANDALUCÍA;3.1.-Agresión sexual;2022;1.848
ANDALUCÍA;3.1.-Agresión sexual;2021;1.651
ANDALUCÍA;3.1.-Agresión sexual;2020;1.228
ANDALUCÍA;3.1.-Agresión sexual;2019;1.462
ANDALUCÍA;3.1.-Agresión sexual;2018;1.428
ANDALUCÍA;3.2.-Agresión sexual con penetración;2024;626
ANDALUCÍA;3.2.-Agresión sexual con penetración;2023;604
ANDALUCÍA;3.2.-Agresión sexual con penetración;2022;512
ANDALUCÍA;3.2.-Agresión sexual con penetración;2021;451
