Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Ambos sexos;2022;389
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Ambos sexos;2021;347
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Ambos sexos;2020;305
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Ambos sexos;2019;312
TOTAL NACIONAL;3.5.-Otros contra la libertad sexual;Ambos sexos;2018;289
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Masculino;2024;583
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Masculino;2023;556
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Masculino;2022;524
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Masculino;2021;519
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Masculino;2020;424
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Masculino;2019;215
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Masculino;2018;239
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Femenino;2024;311
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Femenino;2023;274
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Femenino;2022;224
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Femenino;2021;208
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Femenino;2020;159
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Femenino;2019;121
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Femenino;2018;156
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Ambos sexos;2024;894
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Ambos sexos;2023;830
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Ambos sexos;2022;748
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Ambos sexos;2021;727
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Ambos sexos;2020;583
TOTAL NACIONAL;4. RELACIONES FAMILIARES;Ambos sexos;2019;336
