Comunidades autónomas;Nacionalidad;Sexo;periodo;Total
TOTAL NACIONAL;2.02.-Colombia;Ambos sexos;2019;6.930
TOTAL NACIONAL;2.02.-Colombia;Ambos sexos;2018;5.537
TOTAL NACIONAL;2.03.-Rep. Dominicana;Masculino;2024;3.833
TOTAL NACIONAL;2.03.-Rep. Dominicana;Masculino;2023;3.494
TOTAL NACIONAL;2.03.-Rep. Dominicana;Masculino;2022;3.266
TOTAL NACIONAL;2.03.-Rep. Dominicana;Masculino;2021;3.156
TOTAL NACIONAL;2.03.-Rep. Dominicana;Masculino;2020;2.853
TOTAL NACIONAL;2.03.-Rep. Dominicana;Masculino;2019;2.091
TOTAL NACIONAL;2.03.-Rep. Dominicana;Masculino;2018;1.898
TOTAL NACIONAL;2.03.-Rep. Dominicana;Femenino;2024;821
TOTAL NACIONAL;2.03.-Rep. Dominicana;Femenino;2023;841
TOTAL NACIONAL;2.03.-Rep. Dominicana;Femenino;2022;786
TOTAL NACIONAL;2.03.-Rep. Dominicana;Femenino;2021;771
TOTAL NACIONAL;2.03.-Rep. Dominicana;Femenino;2020;733
TOTAL NACIONAL;2.03.-Rep. Dominicana;Femenino;2019;447
TOTAL NACIONAL;2.03.-Rep. Dominicana;Femenino;2018;459
TOTAL NACIONAL;2.03.-Rep. Dominicana;Ambos sexos;2024;4.654
TOTAL NACIONAL;2.03.-Rep. Dominicana;Ambos sexos;2023;4.335
TOTAL NACIONAL;2.03.-Rep. Dominicana;Ambos sexos;2022;4.052
TOTAL NACIONAL;2.03.-Rep. Dominicana;Ambos sexos;2021;3.927
TOTAL NACIONAL;2.03.-Rep. Dominicana;Ambos sexos;2020;3.586
TOTAL NACIONAL;2.03.-Rep. Dominicana;Ambos sexos;2019;2.538
TOTAL NACIONAL;2.03.-Rep. Dominicana;Ambos sexos;2018;2.357
TOTAL NACIONAL;2.04.-Bolivia;Masculino;2024;2.072
TOTAL NACIONAL;2.04.-Bolivia;Masculino;2023;2.150
TOTAL NACIONAL;2.04.-Bolivia;Masculino;2022;2.004
TOTAL NACIONAL;2.04.-Bolivia;Masculino;2021;1.907
TOTAL NACIONAL;2.04.-Bolivia;Masculino;2020;1.730
TOTAL NACIONAL;2.04.-Bolivia;Masculino;2019;1.538
TOTAL NACIONAL;2.04.-Bolivia;Masculino;2018;1.442
TOTAL NACIONAL;2.04.-Bolivia;Femenino;2024;617
TOTAL NACIONAL;2.04.-Bolivia;Femenino;2023;713
TOTAL NACIONAL;2.04.-Bolivia;Femenino;2022;614
TOTAL NACIONAL;2.04.-Bolivia;Femenino;2021;565
TOTAL NACIONAL;2.04.-Bolivia;Femenino;2020;500
TOTAL NACIONAL;2.04.-Bolivia;Femenino;2019;388
TOTAL NACIONAL;2.04.-Bolivia;Femenino;2018;348
TOTAL NACIONAL;2.04.-Bolivia;Ambos sexos;2024;2.689
TOTAL NACIONAL;2.04.-Bolivia;Ambos sexos;2023;2.863
TOTAL NACIONAL;2.04.-Bolivia;Ambos sexos;2022;2.618
TOTAL NACIONAL;2.04.-Bolivia;Ambos sexos;2021;2.472
TOTAL NACIONAL;2.04.-Bolivia;Ambos sexos;2020;2.230
TOTAL NACIONAL;2.04.-Bolivia;Ambos sexos;2019;1.926
TOTAL NACIONAL;2.04.-Bolivia;Ambos sexos;2018;1.790
TOTAL NACIONAL;2.05.-Perú;Masculino;2024;7.957
TOTAL NACIONAL;2.05.-Perú;Masculino;2023;6.614
TOTAL NACIONAL;2.05.-Perú;Masculino;2022;4.921
TOTAL NACIONAL;2.05.-Perú;Masculino;2021;3.194
TOTAL NACIONAL;2.05.-Perú;Masculino;2020;3.068
TOTAL NACIONAL;2.05.-Perú;Masculino;2019;1.946
TOTAL NACIONAL;2.05.-Perú;Masculino;2018;1.544
TOTAL NACIONAL;2.05.-Perú;Femenino;2024;2.589
TOTAL NACIONAL;2.05.-Perú;Femenino;2023;2.321
TOTAL NACIONAL;2.05.-Perú;Femenino;2022;1.811
TOTAL NACIONAL;2.05.-Perú;Femenino;2021;1.256
TOTAL NACIONAL;2.05.-Perú;Femenino;2020;1.248
TOTAL NACIONAL;2.05.-Perú;Femenino;2019;564
TOTAL NACIONAL;2.05.-Perú;Femenino;2018;378
TOTAL NACIONAL;2.05.-Perú;Ambos sexos;2024;10.546
TOTAL NACIONAL;2.05.-Perú;Ambos sexos;2023;8.935
TOTAL NACIONAL;2.05.-Perú;Ambos sexos;2022;6.732
TOTAL NACIONAL;2.05.-Perú;Ambos sexos;2021;4.450
TOTAL NACIONAL;2.05.-Perú;Ambos sexos;2020;4.316
TOTAL NACIONAL;2.05.-Perú;Ambos sexos;2019;2.510
TOTAL NACIONAL;2.05.-Perú;Ambos sexos;2018;1.922
TOTAL NACIONAL;2.06.-Argentina;Masculino;2024;2.017
TOTAL NACIONAL;2.06.-Argentina;Masculino;2023;1.899
TOTAL NACIONAL;2.06.-Argentina;Masculino;2022;1.668
TOTAL NACIONAL;2.06.-Argentina;Masculino;2021;1.343
TOTAL NACIONAL;2.06.-Argentina;Masculino;2020;1.241
TOTAL NACIONAL;2.06.-Argentina;Masculino;2019;971
TOTAL NACIONAL;2.06.-Argentina;Masculino;2018;908
TOTAL NACIONAL;2.06.-Argentina;Femenino;2024;654
TOTAL NACIONAL;2.06.-Argentina;Femenino;2023;508
