Comunidades autónomas;Tipología penal;periodo;Total
ANDALUCÍA;3. LIBERTAD SEXUAL;2024;2.297
ANDALUCÍA;3. LIBERTAD SEXUAL;2023;2.191
ANDALUCÍA;3. LIBERTAD SEXUAL;2022;1.848
ANDALUCÍA;3. LIBERTAD SEXUAL;2021;1.855
ANDALUCÍA;3. LIBERTAD SEXUAL;2020;1.498
ANDALUCÍA;3. LIBERTAD SEXUAL;2019;1.655
ANDALUCÍA;3. LIBERTAD SEXUAL;2018;1.597
ANDALUCÍA;3.1.-Agresión sexual;2024;1.426
ANDALUCÍA;3.1.-Agresión sexual;2023;1.309
ANDALUCÍA;3.1.-Agresión sexual;2022;1.190
ANDALUCÍA;3.1.-Agresión sexual;2021;1.111
ANDALUCÍA;3.1.-Agresión sexual;2020;851
ANDALUCÍA;3.1.-Agresión sexual;2019;967
ANDALUCÍA;3.1.-Agresión sexual;2018;944
ANDALUCÍA;3.2.-Agresión sexual con penetración;2024;447
ANDALUCÍA;3.2.-Agresión sexual con penetración;2023;446
ANDALUCÍA;3.2.-Agresión sexual con penetración;2022;354
ANDALUCÍA;3.2.-Agresión sexual con penetración;2021;337
ANDALUCÍA;3.2.-Agresión sexual con penetración;2020;289
