Provincias;Tipología penal;periodo;Total
Araba/Álava;5.1.-Hurtos;2018;30
Araba/Álava;5.2.-Robos con fuerza en las cosas;2024;77
Araba/Álava;5.2.-Robos con fuerza en las cosas;2023;81
Araba/Álava;5.2.-Robos con fuerza en las cosas;2022;88
Araba/Álava;5.2.-Robos con fuerza en las cosas;2021;73
Araba/Álava;5.2.-Robos con fuerza en las cosas;2020;72
Araba/Álava;5.2.-Robos con fuerza en las cosas;2019;78
Araba/Álava;5.2.-Robos con fuerza en las cosas;2018;63
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2024;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;0
Araba/Álava;5.2.2.-Robos con fuerza en viviendas;2024;26
Araba/Álava;5.2.2.-Robos con fuerza en viviendas;2023;13
