Provincias;Tipología penal;Sexo;periodo;Total
Total Nacional;2.2.-Otros contra la libertad;Femenino;2021;1.714
Total Nacional;2.2.-Otros contra la libertad;Femenino;2020;1.571
Total Nacional;2.2.-Otros contra la libertad;Femenino;2019;1.056
Total Nacional;2.2.-Otros contra la libertad;Femenino;2018;1.023
Total Nacional;2.2.-Otros contra la libertad;Ambos sexos;2024;13.653
Total Nacional;2.2.-Otros contra la libertad;Ambos sexos;2023;12.021
Total Nacional;2.2.-Otros contra la libertad;Ambos sexos;2022;10.366
Total Nacional;2.2.-Otros contra la libertad;Ambos sexos;2021;9.419
Total Nacional;2.2.-Otros contra la libertad;Ambos sexos;2020;8.145
Total Nacional;2.2.-Otros contra la libertad;Ambos sexos;2019;5.623
Total Nacional;2.2.-Otros contra la libertad;Ambos sexos;2018;5.067
Total Nacional;3. LIBERTAD SEXUAL;Masculino;2024;5.281
Total Nacional;3. LIBERTAD SEXUAL;Masculino;2023;4.782
Total Nacional;3. LIBERTAD SEXUAL;Masculino;2022;3.963
Total Nacional;3. LIBERTAD SEXUAL;Masculino;2021;3.470
Total Nacional;3. LIBERTAD SEXUAL;Masculino;2020;2.517
Total Nacional;3. LIBERTAD SEXUAL;Masculino;2019;2.373
Total Nacional;3. LIBERTAD SEXUAL;Masculino;2018;2.109
Total Nacional;3. LIBERTAD SEXUAL;Femenino;2024;360
Total Nacional;3. LIBERTAD SEXUAL;Femenino;2023;354
Total Nacional;3. LIBERTAD SEXUAL;Femenino;2022;220
Total Nacional;3. LIBERTAD SEXUAL;Femenino;2021;135
Total Nacional;3. LIBERTAD SEXUAL;Femenino;2020;105
Total Nacional;3. LIBERTAD SEXUAL;Femenino;2019;104
Total Nacional;3. LIBERTAD SEXUAL;Femenino;2018;121
Total Nacional;3. LIBERTAD SEXUAL;Ambos sexos;2024;5.641
Total Nacional;3. LIBERTAD SEXUAL;Ambos sexos;2023;5.136
Total Nacional;3. LIBERTAD SEXUAL;Ambos sexos;2022;4.183
Total Nacional;3. LIBERTAD SEXUAL;Ambos sexos;2021;3.605
Total Nacional;3. LIBERTAD SEXUAL;Ambos sexos;2020;2.622
Total Nacional;3. LIBERTAD SEXUAL;Ambos sexos;2019;2.477
Total Nacional;3. LIBERTAD SEXUAL;Ambos sexos;2018;2.230
Total Nacional;3.1.-Agresión sexual;Masculino;2024;3.450
Total Nacional;3.1.-Agresión sexual;Masculino;2023;2.964
Total Nacional;3.1.-Agresión sexual;Masculino;2022;2.517
Total Nacional;3.1.-Agresión sexual;Masculino;2021;2.163
Total Nacional;3.1.-Agresión sexual;Masculino;2020;1.495
